Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Serbia,SRB,56.8935027873898
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Seychelles,SYC,98.6631327999028
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sierra Leone,SLE,26.1386343633649
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Singapore,SGP,148.492855677385
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Slovak Republic,SVK,93.8061320518596
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Slovenia,SVN,77.0448569241837
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Solomon Islands,SLB,46.3684411267913
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Somalia,SOM,59.608500290206
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,26.9885079767917
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Sudan,SSD,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Spain,ESP,32.1345964120382
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sri Lanka,LKA,28.3631481367583
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Kitts and Nevis,KNA,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Lucia,LCA,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Martin (French part),MAF,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sudan,SDN,14.2177167427683
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Suriname,SUR,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sweden,SWE,44.2387507945047
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Switzerland,CHE,56.950318222608
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Syrian Arab Republic,SYR,35.7420714018735
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tajikistan,TJK,41.470632937044
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tanzania,TZA,17.9034665112026
